model,transform,regularization,train_accuracy,val_accuracy,test_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1,history
Logistic Regression,No Transform,0.001,0.8099688473520249,0.8115942028985508,0.782608695652174,0.7720588235294118,0.8021978021978022,0.7731958762886598,0.9156976744186046,0.9012345679012346,0.9036144578313253,0.8377659574468085,0.8488372093023255,0.8333333333333334,
Logistic Regression,No Transform,0.01,0.8442367601246106,0.8623188405797102,0.8478260869565217,0.844632768361582,0.8974358974358975,0.8974358974358975,0.8691860465116279,0.8641975308641975,0.8433734939759037,0.8567335243553008,0.8805031446540881,0.8695652173913043,
Logistic Regression,No Transform,0.1,0.8598130841121495,0.8695652173913043,0.8768115942028986,0.8567415730337079,0.9090909090909091,0.9230769230769231,0.8866279069767442,0.8641975308641975,0.8674698795180723,0.8714285714285714,0.8860759493670886,0.8944099378881988,
Logistic Regression,No Transform,1.0,0.8644859813084113,0.8768115942028986,0.8913043478260869,0.8640226628895185,0.9210526315789473,0.925,0.8866279069767442,0.8641975308641975,0.891566265060241,0.8751793400286944,0.89171974522293,0.9079754601226994,
Logistic Regression,No Transform,10.0,0.8613707165109035,0.8695652173913043,0.8913043478260869,0.8591549295774648,0.9090909090909091,0.925,0.8866279069767442,0.8641975308641975,0.891566265060241,0.8726752503576538,0.8860759493670886,0.9079754601226994,
Logistic Regression,No Transform,100.0,0.8613707165109035,0.8695652173913043,0.8913043478260869,0.8591549295774648,0.9090909090909091,0.925,0.8866279069767442,0.8641975308641975,0.891566265060241,0.8726752503576538,0.8860759493670886,0.9079754601226994,
Logistic Regression,Polynomial Degree 2,0.001,0.8442367601246106,0.8623188405797102,0.8405797101449275,0.840782122905028,0.8875,0.8588235294117647,0.875,0.8765432098765432,0.8795180722891566,0.8575498575498576,0.8819875776397516,0.8690476190476191,
Logistic Regression,Polynomial Degree 2,0.01,0.8753894080996885,0.8768115942028986,0.8840579710144928,0.875,0.9102564102564102,0.9135802469135802,0.8953488372093024,0.8765432098765432,0.891566265060241,0.8850574712643678,0.8930817610062893,0.9024390243902439,
Logistic Regression,Polynomial Degree 2,0.1,0.8925233644859814,0.8985507246376812,0.8913043478260869,0.8895184135977338,0.9240506329113924,0.9047619047619048,0.9127906976744186,0.9012345679012346,0.9156626506024096,0.9010043041606887,0.9125,0.9101796407185628,
Logistic Regression,Polynomial Degree 2,1.0,0.9049844236760125,0.9130434782608695,0.8768115942028986,0.9008498583569405,0.948051948051948,0.9024390243902439,0.9244186046511628,0.9012345679012346,0.891566265060241,0.9124820659971306,0.9240506329113924,0.896969696969697,
Logistic Regression,Polynomial Degree 2,10.0,0.9127725856697819,0.8913043478260869,0.8405797101449275,0.9090909090909091,0.9459459459459459,0.8765432098765432,0.9302325581395349,0.8641975308641975,0.8554216867469879,0.9195402298850575,0.9032258064516129,0.8658536585365854,
Logistic Regression,Polynomial Degree 2,100.0,0.9143302180685359,0.8405797101449275,0.8405797101449275,0.9164265129682997,0.8933333333333333,0.8765432098765432,0.9244186046511628,0.8271604938271605,0.8554216867469879,0.9204052098408104,0.8589743589743589,0.8658536585365854,
Logistic Regression,Polynomial Degree 3,0.001,0.8691588785046729,0.8695652173913043,0.8768115942028986,0.877906976744186,0.92,0.9342105263157895,0.877906976744186,0.8518518518518519,0.8554216867469879,0.877906976744186,0.8846153846153846,0.8930817610062893,
Logistic Regression,Polynomial Degree 3,0.01,0.9096573208722741,0.8913043478260869,0.8840579710144928,0.9109195402298851,0.9230769230769231,0.9240506329113924,0.9215116279069767,0.8888888888888888,0.8795180722891566,0.9161849710982659,0.9056603773584906,0.9012345679012346,
Logistic Regression,Polynomial Degree 3,0.1,0.9392523364485982,0.8840579710144928,0.8695652173913043,0.9446064139941691,0.9113924050632911,0.922077922077922,0.9418604651162791,0.8888888888888888,0.8554216867469879,0.9432314410480349,0.9,0.8875,
Logistic Regression,Polynomial Degree 3,1.0,0.9813084112149533,0.855072463768116,0.8623188405797102,0.9770114942528736,0.8860759493670886,0.9324324324324325,0.9883720930232558,0.8641975308641975,0.8313253012048193,0.9826589595375722,0.875,0.8789808917197452,
Logistic Regression,Polynomial Degree 3,10.0,1.0,0.8115942028985508,0.8188405797101449,1.0,0.8571428571428571,0.881578947368421,1.0,0.8148148148148148,0.8072289156626506,1.0,0.8354430379746836,0.8427672955974843,
Logistic Regression,Polynomial Degree 3,100.0,1.0,0.8043478260869565,0.8188405797101449,1.0,0.8552631578947368,0.8717948717948718,1.0,0.8024691358024691,0.8192771084337349,1.0,0.8280254777070064,0.84472049689441,
Logistic Regression,PCA,0.001,0.8068535825545171,0.8115942028985508,0.782608695652174,0.7696078431372549,0.8021978021978022,0.7731958762886598,0.9127906976744186,0.9012345679012346,0.9036144578313253,0.8351063829787234,0.8488372093023255,0.8333333333333334,
Logistic Regression,PCA,0.01,0.838006230529595,0.8623188405797102,0.8478260869565217,0.8370786516853933,0.8974358974358975,0.8974358974358975,0.8662790697674418,0.8641975308641975,0.8433734939759037,0.8514285714285714,0.8805031446540881,0.8695652173913043,
Logistic Regression,PCA,0.1,0.8489096573208723,0.8623188405797102,0.8623188405797102,0.8498583569405099,0.9078947368421053,0.9102564102564102,0.872093023255814,0.8518518518518519,0.8554216867469879,0.860832137733142,0.8789808917197452,0.8819875776397516,
Logistic Regression,PCA,1.0,0.8613707165109035,0.855072463768116,0.8695652173913043,0.8611898016997167,0.9066666666666666,0.922077922077922,0.8837209302325582,0.8395061728395061,0.8554216867469879,0.8723098995695839,0.8717948717948718,0.8875,
Logistic Regression,PCA,10.0,0.8598130841121495,0.8478260869565217,0.8768115942028986,0.8607954545454546,0.8947368421052632,0.9230769230769231,0.8808139534883721,0.8395061728395061,0.8674698795180723,0.8706896551724138,0.8662420382165605,0.8944099378881988,
Logistic Regression,PCA,100.0,0.8613707165109035,0.8478260869565217,0.8768115942028986,0.8611898016997167,0.8947368421052632,0.9230769230769231,0.8837209302325582,0.8395061728395061,0.8674698795180723,0.8723098995695839,0.8662420382165605,0.8944099378881988,
SVM,Linear Kernel,0.001,0.8286604361370716,0.8188405797101449,0.8333333333333334,0.8145161290322581,0.8333333333333334,0.8658536585365854,0.8808139534883721,0.8641975308641975,0.8554216867469879,0.8463687150837989,0.8484848484848485,0.8606060606060606,
SVM,Linear Kernel,0.01,0.8489096573208723,0.8478260869565217,0.8695652173913043,0.8328840970350404,0.8947368421052632,0.891566265060241,0.8982558139534884,0.8395061728395061,0.891566265060241,0.8643356643356643,0.8662420382165605,0.891566265060241,
SVM,Linear Kernel,0.1,0.8566978193146417,0.8478260869565217,0.8768115942028986,0.8461538461538461,0.9054054054054054,0.9024390243902439,0.8953488372093024,0.8271604938271605,0.891566265060241,0.8700564971751412,0.864516129032258,0.896969696969697,
SVM,Linear Kernel,1.0,0.8629283489096573,0.855072463768116,0.8913043478260869,0.8575418994413407,0.9178082191780822,0.925,0.8924418604651163,0.8271604938271605,0.891566265060241,0.8746438746438746,0.8701298701298701,0.9079754601226994,
SVM,Linear Kernel,10.0,0.8582554517133957,0.8623188405797102,0.8913043478260869,0.8583569405099151,0.918918918918919,0.925,0.8808139534883721,0.8395061728395061,0.891566265060241,0.8694404591104734,0.8774193548387097,0.9079754601226994,
SVM,Linear Kernel,100.0,0.8598130841121495,0.855072463768116,0.8913043478260869,0.8587570621468926,0.9066666666666666,0.925,0.8837209302325582,0.8395061728395061,0.891566265060241,0.8710601719197708,0.8717948717948718,0.9079754601226994,
SVM,Polynomial Degree 2,0.001,0.5358255451713395,0.5869565217391305,0.6014492753623188,0.5358255451713395,0.5869565217391305,0.6014492753623188,1.0,1.0,1.0,0.6977687626774848,0.7397260273972602,0.751131221719457,
